영역,코드,항목명,판정,파일,라인,설명,수정가이드
Performance,PERF-06,현대 이미지 포맷 (WebP/AVIF),X,src/app/layout.tsx,8,폰트 파일 PretendardVariable.ttf — WOFF2 대신 TTF 사용. (logo.png는 next/image가 WebP 자동 변환).,TTF → WOFF2 변환으로 폰트 파일 용량 약 30% 절감.
Performance,PERF-07,코드 스플리팅 (dynamic import),X,src/components/study/studyLayout/index.tsx,4-14,MemoSidePanel/ResizeHandle/StudyCoordinator 정적 import. 조건부 렌더링 컴포넌트에 next/dynamic 미사용.,"const MemoSidePanel = dynamic(() => import('@/components/study/memoSidePanel')) 적용"
Performance,PERF-08,트리 쉐이킹 (barrel export),O,src/components/,전체,개별 파일 default export. 배럴 파일 집중 없음. 직접 경로 import 패턴 사용.,해당 없음
Performance,PERF-09,레이아웃 스래싱 없음,O,src/components/study/inlineHighlightOverlay/index.tsx,58-113,getBoundingClientRect 배치 처리. ResizeObserver 사용. offsetWidth 1회 읽기.,해당 없음
Core Web Vitals,CWV-01,LCP 요소 초기 HTML 존재,O,src/app/page.tsx,전체,SSR Server Component. StudyPageLayout 마크다운 서버 렌더링 → LCP 요소 초기 HTML 포함.,해당 없음
Core Web Vitals,CWV-02,fetchpriority=high,O,src/app/homeClient.tsx,147,next/image priority prop = fetchpriority=high + preload link 자동 생성.,해당 없음
Core Web Vitals,CWV-03,폰트 렌더 차단 없음 (font-display:swap),O,src/app/layout.tsx,9,display:'swap' 설정. -apple-system 폰트 스택 fallback 포함.,해당 없음
Core Web Vitals,CWV-04,이벤트 핸들러 즉각 피드백,O,src/components/common/button/index.tsx,57-59,isLoading 스피너 즉시 표시. disabled:opacity-50 즉각 피드백. autoFocus 적용.,해당 없음
Core Web Vitals,CWV-05,무거운 연산 지연 처리,△,src/components/study/docViewer/index.tsx,42-68,useMemo 헤딩 맵 생성. 긴 마크다운에서 content 변경 시 전체 재파싱 발생 — startTransition 미사용.,긴 마크다운 파싱에 useTransition/startTransition 적용 고려.
Core Web Vitals,CWV-06,img aspect-ratio / width+height,O,src/app/homeClient.tsx,144-145,width={208} height={208} — 1:1 aspect-ratio. CLS 없음.,해당 없음
Core Web Vitals,CWV-07,뷰포트 위 동적 삽입 없음,X,src/components/study/studyLayout/index.tsx,224-245,MemoSidePanel 조건부 마운트 시 4번째 컬럼 추가 → doc/demo 패널 폭 변경 → CLS 유발 가능.,"MemoSidePanel을 position:fixed 오버레이로 변경하거나 width:0/hidden 처리 후 애니메이션."
Core Web Vitals,CWV-08,애니메이션 transform/opacity only,△,src/components/study/studyLayout/index.tsx,140-143,리사이즈 시 width:% 직접 변경 → 리플로우 발생. sidebar transition-transform은 OK.,패널 너비 변경에 will-change:width 추가 또는 CSS custom property 활용.
Core Web Vitals,CWV-09,폰트 교체 CLS 방지,X,src/app/layout.tsx,7-12,TTF 폰트 + font-display:swap → FOUT 구간 CLS 가능. size-adjust/ascent-override 등 metric override 미설정.,"1) TTF→WOFF2 변환. 2) next/font/local adjustFontFallback 설정. 3) 또는 display:'optional'로 CLS 제거."
